Id,Company,ScriptCode,Symbol,url,price,ExchangeName,sname,tag,stockprice,chg,chgp,chgdir,score,scoretext,stock_traded_status,show_score,recurl
753805,Jayant Agro Organics Ltd - <b>524330</b>,524330,JAYAGROGN,https://www.marketsmojo.com/stocks-analysis/jayant-agro-organics-753805-0,,bse,Jayant Agro Org.,Stock,257.75,-3.35,-1.28,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
753805,Jayant Agro Organics Ltd - <b>524330</b>,524330,JAYAGROGN,https://www.marketsmojo.com/news/jayant-agro-organics-ltd-753805,,bse,Jayant Agro Org.,News,257.75,-3.35,-1.28,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
159038,Indo Borax & Chemicals Ltd - <b>524342</b>,524342,INDOBORAX,https://www.marketsmojo.com/stocks-analysis/indo-borax-chemicals-159038-0,,bse,Indo Borax & Ch.,Stock,195.15,-0.45,-0.23,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
159038,Indo Borax & Chemicals Ltd - <b>524342</b>,524342,INDOBORAX,https://www.marketsmojo.com/news/indo-borax-chemicals-ltd-159038,,bse,Indo Borax & Ch.,News,195.15,-0.45,-0.23,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
168969,Seya Industries Ltd - <b>524324</b>,524324,SEYAIND,https://www.marketsmojo.com/stocks-analysis/seya-industries-168969-0,,bse,Seya Industries,Stock,19.41,0.92,4.98,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
168969,Seya Industries Ltd - <b>524324</b>,524324,SEYAIND,https://www.marketsmojo.com/news/seya-industries-ltd-168969,,bse,Seya Industries,News,19.41,0.92,4.98,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
121033,VBC Industries Ltd (Delisted) - <b>524310</b>,524310,,https://www.marketsmojo.com/stocks-analysis/vbc-industries-121033-0,,bse,VBC Inds.,Stock,,,,,,,Not Traded,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
121033,VBC Industries Ltd (Delisted) - <b>524310</b>,524310,,https://www.marketsmojo.com/news/vbc-industries-ltd-121033,,bse,VBC Inds.,News,,,,,,,Not Traded,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
368083,Aimco Pesticides Ltd - <b>524288</b>,524288,AIMCOPEST,https://www.marketsmojo.com/stocks-analysis/aimco-pesticides-368083-0,,bse,Aimco Pesticides,Stock,85.01,0.11,0.13,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
368083,Aimco Pesticides Ltd - <b>524288</b>,524288,AIMCOPEST,https://www.marketsmojo.com/news/aimco-pesticides-ltd-368083,,bse,Aimco Pesticides,News,85.01,0.11,0.13,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
890385,Gujarat Terce Laboratories Ltd - <b>524314</b>,524314,,https://www.marketsmojo.com/stocks-analysis/gujarat-terce-laboratories-890385-0,,bse,Guj. Terce Labs.,Stock,54.47,-0.78,-1.41,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
890385,Gujarat Terce Laboratories Ltd - <b>524314</b>,524314,,https://www.marketsmojo.com/news/gujarat-terce-laboratories-ltd-890385,,bse,Guj. Terce Labs.,News,54.47,-0.78,-1.41,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
271637,Kabra Drugs Ltd (Suspended) - <b>524322</b>,524322,,https://www.marketsmojo.com/stocks-analysis/kabra-drugs-271637-0,,bse,Kabra Drugs,Stock,,,,,,,Not Traded,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
271637,Kabra Drugs Ltd (Suspended) - <b>524322</b>,524322,,https://www.marketsmojo.com/news/kabra-drugs-ltd-271637,,bse,Kabra Drugs,News,,,,,,,Not Traded,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
287435,Shree Hari Chemicals Export Ltd - <b>524336</b>,524336,,https://www.marketsmojo.com/stocks-analysis/shree-hari-chemicals-export-287435-0,,bse,Sh. Hari Chem.,Stock,140.00,0.00,0.00,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
287435,Shree Hari Chemicals Export Ltd - <b>524336</b>,524336,,https://www.marketsmojo.com/news/shree-hari-chemicals-export-ltd-287435,,bse,Sh. Hari Chem.,News,140.00,0.00,0.00,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
670300,BCL Industries Ltd - <b>524332</b>,524332,BCLIND,https://www.marketsmojo.com/stocks-analysis/bcl-industries-670300-0,,bse,BCL Industries,Stock,42.08,0.08,0.19,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
670300,BCL Industries Ltd - <b>524332</b>,524332,BCLIND,https://www.marketsmojo.com/news/bcl-industries-ltd-670300,,bse,BCL Industries,News,42.08,0.08,0.19,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
657348,Aarti Drugs Ltd - <b>524348</b>,524348,AARTIDRUGS,https://www.marketsmojo.com/stocks-analysis/aarti-drugs-657348-0,,bse,Aarti Drugs,Stock,462.00,-2.80,-0.60,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
657348,Aarti Drugs Ltd - <b>524348</b>,524348,AARTIDRUGS,https://www.marketsmojo.com/news/aarti-drugs-ltd-657348,,bse,Aarti Drugs,News,462.00,-2.80,-0.60,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
478204,Bodal Chemicals Ltd - <b>524370</b>,524370,BODALCHEM,https://www.marketsmojo.com/stocks-analysis/bodal-chemicals-478204-0,,bse,Bodal Chemicals,Stock,73.40,-0.59,-0.80,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
478204,Bodal Chemicals Ltd - <b>524370</b>,524370,BODALCHEM,https://www.marketsmojo.com/news/bodal-chemicals-ltd-478204,,bse,Bodal Chemicals,News,73.40,-0.59,-0.80,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
653435,Orchid Pharma Ltd - <b>524372</b>,524372,ORCHPHARMA,https://www.marketsmojo.com/stocks-analysis/orchid-pharma-653435-0,,bse,Orchid Pharma,Stock,719.20,-4.25,-0.59,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
653435,Orchid Pharma Ltd - <b>524372</b>,524372,ORCHPHARMA,https://www.marketsmojo.com/news/orchid-pharma-ltd-653435,,bse,Orchid Pharma,News,719.20,-4.25,-0.59,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
179255,Vimta Labs Ltd - <b>524394</b>,524394,VIMTALABS,https://www.marketsmojo.com/stocks-analysis/vimta-labs-179255-0,,bse,Vimta Labs,Stock,942.00,-18.85,-1.96,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
179255,Vimta Labs Ltd - <b>524394</b>,524394,VIMTALABS,https://www.marketsmojo.com/news/vimta-labs-ltd-179255,,bse,Vimta Labs,News,942.00,-18.85,-1.96,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
564241,Crazy Infra & Infomedia Ltd (Delisted) - <b>524388</b>,524388,,https://www.marketsmojo.com/stocks-analysis/crazy-infra-infomedia-564241-0,,bse,Crazy Infra,Stock,,,,,,,Not Traded,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
564241,Crazy Infra & Infomedia Ltd (Delisted) - <b>524388</b>,524388,,https://www.marketsmojo.com/news/crazy-infra-infomedia-ltd-564241,,bse,Crazy Infra,News,,,,,,,Not Traded,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
444125,Ishita Drugs & Industries Ltd - <b>524400</b>,524400,,https://www.marketsmojo.com/stocks-analysis/ishita-drugs-industries-444125-0,,bse,Ishita Drugs,Stock,80.50,0.30,0.37,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
444125,Ishita Drugs & Industries Ltd - <b>524400</b>,524400,,https://www.marketsmojo.com/news/ishita-drugs-industries-ltd-444125,,bse,Ishita Drugs,News,80.50,0.30,0.37,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
320222,Universal Starch Chem Allied Ltd - <b>524408</b>,524408,,https://www.marketsmojo.com/stocks-analysis/universal-starch-chem-allied-320222-0,,bse,Universal Starch,Stock,165.80,4.00,2.47,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
320222,Universal Starch Chem Allied Ltd - <b>524408</b>,524408,,https://www.marketsmojo.com/news/universal-starch-chem-allied-ltd-320222,,bse,Universal Starch,News,165.80,4.00,2.47,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
