BSEID,NSEID,ISIN,industry,MARKET CAP,q_rank,q_txt,v_rank,v_txt,f_txt,tech_score,tech_txt,score,scoreText,prevScoreText
532332,CURAA,INE117B01020,Computers - Software & Consulting,Rs 123 Cr (Micro Cap),-99997,Does not qualify,-2,Risky,Does not qualify,1.58,Bullish,0.0,Not Rated,Strong Sell
532808,PGIL,INE940H01022,Garments & Apparels,"Rs 6,088 Cr (Mid Cap)",40,Good,-1,Expensive,Very Positive,-0.11,Mildly Bearish,55.0,Hold,Buy
522163,DIACABS,INE989C01038,Other Electrical Equipment,"Rs 5,251 Cr (Mid Cap)",-99997,Below Average,-2,Risky,Positive,-0.28,Mildly Bearish,23.0,Strong Sell,Sell
531106,VARDHACRLC,INE116G01013,Garments & Apparels,Rs  Cr (Micro Cap),27,Average,1,Very Expensive,Negative,-0.22,Mildly Bearish,27.0,Strong Sell,Sell
526677,KEEPLEARN,INE055C01020,Other Consumer Services,Rs 53 Cr (Micro Cap),-99999,Does not qualify,-99999,Does not qualify,Flat,-1,Bearish,0.0,Not Rated,Not Rated
533160,DBREALTY,INE879I01012,Realty,"Rs 12,159 Cr (Mid Cap)",46,Below Average,-2,Risky,Positive,1.22,Bullish,46.0,Sell,Strong Sell
506642,SADHNANIQ,INE888C01040,Commodity Chemicals,Rs 522 Cr (Micro Cap),42,Below Average,-1,Expensive,Very Positive,-1.22,Bearish,29.0,Strong Sell,Sell
538388,NBIFIN,INE365I01020,Non Banking Financial Company (NBFC),Rs  Cr (Micro Cap),-99997,Below Average,-2,Expensive,Very Positive,0.17,Mildly Bullish,50.0,Hold,Sell
500530,BOSCHLTD,INE323A01026,Auto Components & Equipments,"Rs 91,961 Cr (Large Cap)",9,Good,1,Expensive,Flat,0,Sideways,50.0,Hold,Sell
570004,JISLDVREQS,IN9175A01010,Plastic Products - Industrial,Rs 65 Cr (Micro Cap),-99999,Does not qualify,-2,Does not qualify,Positive,0.22,Mildly Bullish,0.0,Not Rated,Not Rated
509152,GRPLTD,INE137I01015,Industrial Products,"Rs 1,536 Cr (Small Cap)",5,Average,-1,Expensive,Positive,-0.56,Mildly Bearish,42.0,Sell,Hold
500120,DIAMINESQ,INE591D01014,Specialty Chemicals,Rs 377 Cr (Micro Cap),-99997,Average,2,Very Expensive,Negative,-0.22,Mildly Bearish,27.0,Strong Sell,Sell
515055,ANANTRAJ,INE242C01024,Realty,"Rs 18,447 Cr (Mid Cap)",35,Average,-1,Very Expensive,Very Positive,0.11,Mildly Bullish,62.0,Hold,Sell
500191,HMT,INE262A01018,Industrial Manufacturing,"Rs 2,311 Cr (Small Cap)",3,Below Average,-2,Risky,Flat,-0.06,Sideways,23.0,Strong Sell,Sell
532419,SMARTLINK,INE178C01020,IT - Hardware,Rs 159 Cr (Micro Cap),56,Below Average,-2,Risky,Flat,-0.28,Mildly Bearish,17.0,Strong Sell,Sell
500356,RAMANEWS,INE278B01020,"Paper, Forest & Jute Products",Rs 551 Cr (Micro Cap),17,Below Average,-2,Risky,Flat,0.53,Mildly Bullish,33.0,Sell,Hold
530343,GENUSPOWER,INE955D01029,Other Electrical Equipment,"Rs 11,516 Cr (Mid Cap)",4,Average,-1,Very Expensive,Outstanding,0.22,Mildly Bullish,68.0,Hold,Sell
524226,GAEL,INE036B01030,Other Agricultural Products,"Rs 5,302 Cr (Mid Cap)",1,Average,0,Attractive,Very Negative,-0.61,Mildly Bearish,31.0,Sell,Hold
523127,EIHAHOTELS,INE276C01014,Hotels & Resorts,"Rs 2,267 Cr (Small Cap)",9,Average,-1,Fair,Positive,-0.11,Mildly Bearish,51.0,Hold,Sell
517530,SURANAT&P,INE130B01031,Power,Rs 264 Cr (Micro Cap),-99997,Below Average,-2,Risky,Positive,-0.33,Mildly Bearish,23.0,Strong Sell,Sell
531495,BLUECOAST,INE472B01011,Hotels & Resorts,Rs 57 Cr (Micro Cap),19,Below Average,2,Risky,Flat,0.67,Mildly Bullish,33.0,Sell,Strong Sell
531638,SURAJLTD,INE713C01016,Iron & Steel Products,Rs 669 Cr (Micro Cap),56,Average,-1,Expensive,Very Negative,-0.83,Mildly Bearish,26.0,Strong Sell,Sell
500265,MAHSEAMLES,INE271B01025,Iron & Steel Products,"Rs 9,318 Cr (Mid Cap)",19,Good,0,Fair,Flat,1.06,Bullish,70.0,Buy,Hold
501423,SHAILY,INE151G01028,Plastic Products - Industrial,"Rs 8,000 Cr (Mid Cap)",8,Good,-1,Very Expensive,Very Positive,0.94,Mildly Bullish,70.0,Buy,Hold
512529,SEQUENT,INE807F01027,Pharmaceuticals & Biotechnology,"Rs 4,845 Cr (Small Cap)",58,Below Average,0,Fair,Very Positive,0.39,Mildly Bullish,53.0,Hold,Sell
517569,KEI,INE878B01027,Cables - Electricals,"Rs 34,795 Cr (Large Cap)",3,Good,-1,Expensive,Positive,-0.11,Mildly Bearish,50.0,Hold,Sell
531120,PATELENG,INE244B01030,Construction,"Rs 3,559 Cr (Small Cap)",16,Below Average,2,Very Attractive,Positive,-0.39,Mildly Bearish,37.0,Sell,Hold
500039,BANCOINDIA,INE213C01025,Auto Components & Equipments,"Rs 8,611 Cr (Mid Cap)",11,Average,2,Fair,Positive,1.5,Bullish,68.0,Hold,Sell
530965,IOC,INE242A01010,Oil,"Rs 1,97,768 Cr (Large Cap)",3,Good,2,Very Attractive,Flat,-0.28,Mildly Bearish,52.0,Hold,Sell
500128,ELECTCAST,INE086A01029,Iron & Steel Products,"Rs 8,018 Cr (Mid Cap)",7,Average,1,Attractive,Very Negative,-0.06,Sideways,37.0,Sell,Hold
532809,FSL,INE684F01012,Commercial Services & Supplies,"Rs 26,669 Cr (Large Cap)",5,Good,0,Attractive,Positive,1.61,Bullish,78.0,Buy,Hold
533090,EXCEL,INE688J01023,Trading & Distributors,Rs 106 Cr (Micro Cap),-99997,Below Average,-2,Risky,Flat,-0.39,Mildly Bearish,17.0,Strong Sell,Sell
500040,ABREL,INE055A01016,"Paper, Forest & Jute Products","Rs 26,819 Cr (Large Cap)",6,Average,1,Very Expensive,Very Negative,0.22,Mildly Bullish,40.0,Sell,Strong Sell
523694,APCOTEXIND,INE116A01032,Industrial Products,"Rs 1,955 Cr (Small Cap)",1,Average,1,Fair,Positive,-0.22,Mildly Bearish,45.0,Sell,Strong Sell
