BSEID,NSEID,ISIN,industry,MARKET CAP,q_rank,q_txt,v_rank,v_txt,f_txt,tech_score,tech_txt,score,scoreText,prevScoreText
503685,,INE828I01019,Media & Entertainment,Rs 33 Cr (Micro Cap),-99999,Does not qualify,-2,Does not qualify,Flat,-1.4,Bearish,0.0,Not Rated,Not Rated
538732,,INE761Q01015,Non Banking Financial Company (NBFC),Rs 103 Cr (Micro Cap),78,Below Average,-1,Very Expensive,Flat,-0.53,Mildly Bearish,21.0,Strong Sell,Sell
521054,,INE092E01011,Garments & Apparels,Rs 13 Cr (Micro Cap),-99997,Below Average,-2,Risky,Very Positive,-0.07,Sideways,34.0,Sell,Strong Sell
523127,EIHAHOTELS,INE276C01014,Hotels & Resorts,"Rs 2,339 Cr (Small Cap)",9,Average,-1,Fair,Positive,0,Sideways,45.0,Sell,Hold
500246,KIRLOSELEC,INE601C01013,Industrial Manufacturing,Rs 46 Cr (Micro Cap),-99997,Does not qualify,-2,Risky,Flat,-0.87,Mildly Bearish,0.0,Not Rated,Sell
531156,,INE883B01027,Other Agricultural Products,Rs 33 Cr (Micro Cap),-99997,Below Average,-2,Attractive,Flat,-1.6,Bearish,23.0,Strong Sell,Sell
512229,,INE379J01029,Trading & Distributors,"Rs 1,011 Cr (Small Cap)",24,Average,-1,Attractive,Negative,-0.73,Mildly Bearish,34.0,Sell,Strong Sell
538598,VISHAL,INE755Q01025,Garments & Apparels,Rs 594 Cr (Micro Cap),24,Average,-1,Attractive,Flat,-0.33,Mildly Bearish,48.0,Sell,Hold
535657,,INE860E01011,Computers - Software & Consulting,Rs 10 Cr (Micro Cap),-99997,Below Average,-2,Very Attractive,Flat,-0.27,Mildly Bearish,31.0,Sell,Strong Sell
536493,,INE690O01011,Other Agricultural Products,Rs 181 Cr (Micro Cap),19,Below Average,-1,Risky,Flat,-0.4,Mildly Bearish,17.0,Strong Sell,Sell
524226,GAEL,INE036B01030,Other Agricultural Products,"Rs 5,458 Cr (Mid Cap)",1,Average,0,Attractive,Very Negative,-0.33,Mildly Bearish,31.0,Sell,Hold
520127,BALURTRANS,INE654B01014,Transport Services,Rs 34 Cr (Micro Cap),-99997,Below Average,-2,Very Attractive,Flat,-0.2,Mildly Bearish,31.0,Sell,Strong Sell
531223,,INE364D01032,Garments & Apparels,Rs 74 Cr (Micro Cap),-99997,Below Average,-2,Attractive,Flat,1.13,Bullish,51.0,Hold,Sell
503811,SIYSIL,INE076B01028,Garments & Apparels,"Rs 3,201 Cr (Small Cap)",8,Average,1,Attractive,Flat,0.72,Mildly Bullish,58.0,Hold,Sell
532887,NTL,INE333I01036,Heavy Electrical Equipment,Rs 29 Cr (Micro Cap),-99997,Below Average,-2,Risky,Negative,,Does not qualify,0.0,Not Rated,Sell
530343,GENUSPOWER,INE955D01029,Other Electrical Equipment,"Rs 12,025 Cr (Mid Cap)",4,Average,-1,Very Expensive,Outstanding,0.22,Mildly Bullish,68.0,Hold,Sell
535958,ESSENTIA,INE418N01035,FMCG,Rs 240 Cr (Micro Cap),-99997,Below Average,-2,Attractive,Negative,-0.94,Mildly Bearish,20.0,Strong Sell,Sell
526905,,INE743D01011,Commodity Chemicals,Rs 6 Cr (Micro Cap),-99997,Below Average,-2,Risky,Positive,1.4,Bullish,46.0,Sell,Strong Sell
511740,,INE239B01014,Housing Finance Company,Rs 62 Cr (Micro Cap),-99997,Below Average,-2,Risky,Flat,-0.11,Mildly Bearish,17.0,Strong Sell,Not Rated
511636,,INE234E01027,Non Banking Financial Company (NBFC),Rs 14 Cr (Micro Cap),-99999,Does not qualify,3,Does not qualify,Flat,0.27,Mildly Bullish,,Not Rated,
524828,,INE278D01018,Pharmaceuticals & Biotechnology,Rs 148 Cr (Micro Cap),-99997,Average,-2,Attractive,Flat,-1,Bearish,37.0,Sell,Hold
530129,,INE445D01013,Minerals & Mining,Rs 495 Cr (Micro Cap),5,Average,2,Fair,Flat,-0.27,Mildly Bearish,40.0,Sell,Hold
533160,DBREALTY,INE879I01012,Realty,"Rs 11,547 Cr (Mid Cap)",46,Below Average,-2,Risky,Positive,1.22,Bullish,46.0,Sell,Strong Sell
532189,ITDC,INE353K01014,Hotels & Resorts,"Rs 5,365 Cr (Mid Cap)",11,Average,-2,Very Expensive,Very Positive,-0.06,Sideways,47.0,Sell,Hold
532419,SMARTLINK,INE178C01020,IT - Hardware,Rs 166 Cr (Micro Cap),56,Below Average,-2,Risky,Flat,-0.22,Mildly Bearish,17.0,Strong Sell,Sell
524570,PODDARMENT,INE371C01013,Dyes And Pigments,Rs 320 Cr (Micro Cap),5,Average,1,Attractive,Negative,-0.28,Mildly Bearish,34.0,Sell,Strong Sell
531349,PANACEABIO,INE922B01023,Pharmaceuticals & Biotechnology,"Rs 2,815 Cr (Small Cap)",62,Below Average,-1,Risky,Negative,0.83,Mildly Bullish,24.0,Strong Sell,Sell
511153,,INE096I01021,FMCG,Rs 84 Cr (Micro Cap),-99997,Below Average,-2,Very Attractive,Flat,-0.4,Mildly Bearish,31.0,Sell,Strong Sell
