Id,Company,ScriptCode,Symbol,url,price,ExchangeName,sname
984165,20 Microns Ltd. - <b>INE144J01027</b>,533022,20MICRONS,/Stocks?StockId=984165&Exchange=0,,bse,20 Microns
179108,Twenty First Century Management Services Ltd - <b>INE253B01015</b>,526921,21STCENMGM,/Stocks?StockId=179108&Exchange=0,,bse,21st Cent. Mgmt.
344456,3i Infotech Ltd - <b>INE748C01020</b>,532628,3IINFOTECH,/Stocks?StockId=344456&Exchange=0,,bse,3i Infotech
657550,3M India Ltd. - <b>INE470A01017</b>,523395,3MINDIA,/Stocks?StockId=657550&Exchange=0,,bse,3M India
632857,3P Land Holdings Ltd - <b>INE105C01023</b>,516092,3PLAND,/Stocks?StockId=632857&Exchange=0,,bse,3P Land Hold.
1002879,5Paisa Capital Ltd - <b>INE618L01018</b>,540776,5PAISA,/Stocks?StockId=1002879&Exchange=0,,bse,5Paisa Capital
825938,63 Moons Technologies Ltd - <b>INE111B01023</b>,526881,63MOONS,/Stocks?StockId=825938&Exchange=0,,bse,63 Moons Tech.
949223,A2Z Infra Engineering Ltd - <b>INE619I01012</b>,533292,A2ZINFRA,/Stocks?StockId=949223&Exchange=0,,bse,A2Z Infra Engg.
1002976,Aakash Exploration Services Ltd - <b>INE087Z01016</b>,535076,AAKASH,/Stocks?StockId=1002976&Exchange=1,,nse,Aakash Explor.
1003042,Aaron Industries Ltd - <b>INE721Z01010</b>,535103,AARON,/Stocks?StockId=1003042&Exchange=1,,nse,Aaron Industries
657348,Aarti Drugs Ltd - <b>INE767A01016</b>,524348,AARTIDRUGS,/Stocks?StockId=657348&Exchange=0,,bse,Aarti Drugs
465419,Aarti Industries Ltd. - <b>INE769A01020</b>,524208,AARTIIND,/Stocks?StockId=465419&Exchange=0,,bse,Aarti Industries
1003403,Aarti Surfactants Ltd - <b>INE09EO01013</b>,543210,AARTISURF,/Stocks?StockId=1003403&Exchange=0,,bse,Aarti Surfactant
565016,Aarvee Denims & Exports Ltd - <b>INE273D01019</b>,514274,AARVEEDEN,/Stocks?StockId=565016&Exchange=0,,bse,Aarvee Denims
1002845,Aarvi Encon Ltd - <b>INE754X01016</b>,535014,AARVI,/Stocks?StockId=1002845&Exchange=1,,nse,Aarvi Encon
1003057,Aavas Financiers Ltd. - <b>INE216P01012</b>,541988,AAVAS,/Stocks?StockId=1003057&Exchange=0,,bse,Aavas Financiers
179596,Aban Offshore Ltd - <b>INE421A01028</b>,523204,ABAN,/Stocks?StockId=179596&Exchange=0,,bse,Aban Offshore
968623,ABB India Ltd - <b>INE117A01022</b>,500002,ABB,/Stocks?StockId=968623&Exchange=0,,bse,A B B
919728,Abbott India Ltd. - <b>INE358A01014</b>,500488,ABBOTINDIA,/Stocks?StockId=919728&Exchange=0,,bse,Abbott India
1002814,Aditya Birla Capital Ltd - <b>INE674K01013</b>,540691,ABCAPITAL,/Stocks?StockId=1002814&Exchange=0,,bse,Aditya Birla Cap
376799,Aditya Birla Fashion & Retail Ltd - <b>INE647O01011</b>,535755,ABFRL,/Stocks?StockId=376799&Exchange=0,,bse,Aditya Bir. Fas.
646737,A B M International Ltd - <b>INE251C01017</b>,533028,ABMINTLTD,/Stocks?StockId=646737&Exchange=1,,nse,A B M Internatl.
229887,ACC Ltd - <b>INE012A01025</b>,500410,ACC,/Stocks?StockId=229887&Exchange=0,,bse,ACC
576164,Accelya Solutions India Ltd - <b>INE793A01012</b>,532268,ACCELYA,/Stocks?StockId=576164&Exchange=0,,bse,Accelya Solution
1003015,Accuracy Shipping Ltd - <b>INE648Z01015</b>,535090,ACCURACY,/Stocks?StockId=1003015&Exchange=1,,nse,Accuracy Shippi.
680359,Action Construction Equipments Ltd - <b>INE731H01025</b>,532762,ACE,/Stocks?StockId=680359&Exchange=0,,bse,Action Const.Eq.
621353,Acrysil Ltd - <b>INE482D01024</b>,524091,ACRYSIL,/Stocks?StockId=621353&Exchange=0,,bse,Acrysil
789039,Adani Enterprises Ltd - <b>INE423A01024</b>,512599,ADANIENT,/Stocks?StockId=789039&Exchange=0,,bse,Adani Enterp.
1003008,Adani Green Energy Ltd - <b>INE364U01010</b>,541450,ADANIGREEN,/Stocks?StockId=1003008&Exchange=0,,bse,Adani Green
716033,Adani Ports & Special Economic Zone Ltd - <b>INE742F01042</b>,532921,ADANIPORTS,/Stocks?StockId=716033&Exchange=0,,bse,Adani Ports
962209,Adani Power Ltd - <b>INE814H01011</b>,533096,ADANIPOWER,/Stocks?StockId=962209&Exchange=0,,bse,Adani Power
999961,Adani Transmission Ltd - <b>INE931S01010</b>,539254,ADANITRANS,/Stocks?StockId=999961&Exchange=0,,bse,Adani Transmissi
892537,ADF Foods Ltd - <b>INE982B01019</b>,519183,ADFFOODS,/Stocks?StockId=892537&Exchange=0,,bse,ADF Foods
1003420,Archidply Decor Ltd - <b>INE0CHO01012</b>,543231,ADL,/Stocks?StockId=1003420&Exchange=0,,bse,Archidply Decor
339153,Ador Welding Ltd. - <b>INE045A01017</b>,517041,ADORWELD,/Stocks?StockId=339153&Exchange=0,,bse,Ador Welding
290397,Adroit Infotech Ltd - <b>INE737B01033</b>,532172,ADROITINFO,/Stocks?StockId=290397&Exchange=0,,bse,Adroit Info.
505706,Allied Digital Services Ltd - <b>INE102I01027</b>,532875,ADSL,/Stocks?StockId=505706&Exchange=0,,bse,Allied Digital
465502,Advani Hotels & Resorts (India) Ltd - <b>INE199C01026</b>,523269,ADVANIHOTR,/Stocks?StockId=465502&Exchange=0,,bse,Advani Hotels.
1000007,Advanced Enzyme Technologies Ltd - <b>INE837H01020</b>,540025,ADVENZYMES,/Stocks?StockId=1000007&Exchange=0,,bse,Advanced Enzyme
732927,Aegis Logistics Ltd. - <b>INE208C01025</b>,500003,AEGISCHEM,/Stocks?StockId=732927&Exchange=0,,bse,Aegis Logistics
1003159,Affle India Ltd - <b>INE00WC01019</b>,542752,AFFLE,/Stocks?StockId=1003159&Exchange=0,,bse,Affle India
776884,Agarwal Industrial Corporation Ltd - <b>INE204E01012</b>,531921,AGARIND,/Stocks?StockId=776884&Exchange=0,,bse,Agarwal Indl.
913012,AGC Networks Ltd - <b>INE676A01019</b>,500463,AGCNET,/Stocks?StockId=913012&Exchange=0,,bse,AGC Networks
564418,Agri-Tech (India) Ltd - <b>INE449G01018</b>,537292,AGRITECH,/Stocks?StockId=564418&Exchange=0,,bse,Agri-Tech India
1002687,Agro Phos India Ltd - <b>INE740V01019</b>,538387,AGROPHOS,/Stocks?StockId=1002687&Exchange=1,,nse,Agro Phos India
1003053,Ahlada Engineers Ltd - <b>INE00PV01013</b>,535111,AHLADA,/Stocks?StockId=1003053&Exchange=1,,nse,Ahlada Engineers
109109,Asian Hotels (East) Ltd - <b>INE926K01017</b>,533227,AHLEAST,/Stocks?StockId=109109&Exchange=0,,bse,Asian Hotels (E)
304977,Ahluwalia Contracts (India) Ltd - <b>INE758C01029</b>,532811,AHLUCONT,/Stocks?StockId=304977&Exchange=0,,bse,Ahluwalia Contr.
835869,Asian Hotels (West) Ltd - <b>INE915K01010</b>,533221,AHLWEST,/Stocks?StockId=835869&Exchange=0,,bse,Asian Hotels (W)
604881,AIA Engineering Ltd - <b>INE212H01026</b>,532683,AIAENG,/Stocks?StockId=604881&Exchange=0,,bse,AIA Engineering
1002731,Airan Ltd - <b>INE645W01026</b>,538410,AIRAN,/Stocks?StockId=1002731&Exchange=1,,nse,Airan
178818,Ajanta Pharma Ltd. - <b>INE031B01049</b>,532331,AJANTPHARM,/Stocks?StockId=178818&Exchange=0,,bse,Ajanta Pharma
344647,Ajmera Realty & Infra India Ltd - <b>INE298G01027</b>,513349,AJMERA,/Stocks?StockId=344647&Exchange=0,,bse,Ajmera Realty
1002898,Ajooni Biotech Ltd - <b>INE820Y01013</b>,535040,AJOONI,/Stocks?StockId=1002898&Exchange=1,,nse,Ajooni Biotech
1002723,Akash Infraprojects Ltd - <b>INE737W01013</b>,538409,AKASH,/Stocks?StockId=1002723&Exchange=1,,nse,Akash InfraProj.
1003052,AKG Exim Ltd - <b>INE00Y801016</b>,535110,AKG,/Stocks?StockId=1003052&Exchange=1,,nse,AKG Exim
272730,AksharChem (India) Ltd - <b>INE542B01011</b>,524598,AKSHARCHEM,/Stocks?StockId=272730&Exchange=0,,bse,AksharChem (I)
812146,Aksh Optifibre Ltd - <b>INE523B01011</b>,532351,AKSHOPTFBR,/Stocks?StockId=812146&Exchange=0,,bse,Aksh Optifibre
392418,Akzo Nobel India Ltd - <b>INE133A01011</b>,500710,AKZOINDIA,/Stocks?StockId=392418&Exchange=0,,bse,Akzo Nobel
373709,Alankit Ltd. - <b>INE914E01040</b>,531082,ALANKIT,/Stocks?StockId=373709&Exchange=0,,bse,Alankit
876497,Albert David Ltd. - <b>INE155C01010</b>,524075,ALBERTDAVD,/Stocks?StockId=876497&Exchange=0,,bse,Albert David
919204,Alembic Ltd - <b>INE426A01027</b>,506235,ALEMBICLTD,/Stocks?StockId=919204&Exchange=0,,bse,Alembic
486005,Alicon Castalloy Ltd - <b>INE062D01024</b>,531147,ALICON,/Stocks?StockId=486005&Exchange=0,,bse,Alicon Cast.
885963,Alkali Metals Ltd. - <b>INE773I01017</b>,533029,ALKALI,/Stocks?StockId=885963&Exchange=0,,bse,Alkali Metals
1000019,Alkem Laboratories Ltd - <b>INE540L01014</b>,539523,ALKEM,/Stocks?StockId=1000019&Exchange=0,,bse,Alkem Lab
186692,Alkyl Amines Chemicals Ltd - <b>INE150B01039</b>,506767,ALKYLAMINE,/Stocks?StockId=186692&Exchange=0,,bse,Alkyl Amines
968239,Allcargo Logistics Ltd - <b>INE418H01029</b>,532749,ALLCARGO,/Stocks?StockId=968239&Exchange=0,,bse,Allcargo Logist.
222651,Allsec Technologies Ltd - <b>INE835G01018</b>,532633,ALLSEC,/Stocks?StockId=222651&Exchange=0,,bse,Allsec Tech.
585964,Almondz Global Securities Ltd - <b>INE326B01027</b>,531400,ALMONDZ,/Stocks?StockId=585964&Exchange=0,,bse,Almondz Global
661020,Alok Industries Ltd - <b>INE270A01029</b>,521070,ALOKINDS,/Stocks?StockId=661020&Exchange=0,,bse,Alok Industries
476646,Alpa Laboratories Ltd - <b>INE385I01010</b>,532878,ALPA,/Stocks?StockId=476646&Exchange=0,,bse,Alpa Laboratorie
216236,Alphageo (India) Ltd - <b>INE137C01018</b>,526397,ALPHAGEO,/Stocks?StockId=216236&Exchange=0,,bse,Alphageo (India)
621626,Alps Industries Ltd - <b>INE093B01015</b>,530715,ALPSINDUS,/Stocks?StockId=621626&Exchange=0,,bse,Alps Industries
869476,Amara Raja Batteries Ltd - <b>INE885A01032</b>,500008,AMARAJABAT,/Stocks?StockId=869476&Exchange=0,,bse,Amara Raja Batt.
1002908,Amber Enterprises India Ltd - <b>INE371P01015</b>,540902,AMBER,/Stocks?StockId=1002908&Exchange=0,,bse,Amber Enterp.
958219,Ambica Agarbathies & Aroma Industries Ltd. (Inactive) - <b>INE792B01012</b>,532335,AMBICAAGAR,/Stocks?StockId=958219&Exchange=0,,bse,Ambica Agarbathies
974224,Ambika Cotton Mills Ltd - <b>INE540G01014</b>,531978,AMBIKCO,/Stocks?StockId=974224&Exchange=0,,bse,Ambika Cotton
690246,Ambuja Cements Ltd - <b>INE079A01024</b>,500425,AMBUJACEM,/Stocks?StockId=690246&Exchange=0,,bse,Ambuja Cements
380726,AMD Industries Ltd - <b>INE005I01014</b>,532828,AMDIND,/Stocks?StockId=380726&Exchange=0,,bse,AMD Industries
102412,AMJ Land Holdings Ltd - <b>INE606A01024</b>,500343,AMJLAND,/Stocks?StockId=102412&Exchange=0,,bse,AMJ Land Holdin.
149140,Amrutanjan Health Care Ltd - <b>INE098F01031</b>,590006,AMRUTANJAN,/Stocks?StockId=149140&Exchange=0,,bse,Amrutanjan Healt
737446,Anant Raj Ltd - <b>INE242C01024</b>,515055,ANANTRAJ,/Stocks?StockId=737446&Exchange=0,,bse,Anant Raj
311978,Andhra Cements Ltd - <b>INE666E01012</b>,532141,ANDHRACEMT,/Stocks?StockId=311978&Exchange=0,,bse,Andhra Cements
129094,Andhra Paper Ltd - <b>INE435A01028</b>,502330,ANDHRAPAP,/Stocks?StockId=129094&Exchange=0,,bse,Andhra Paper
416296,Andhra Sugars Ltd. - <b>INE715B01013</b>,590062,ANDHRSUGAR,/Stocks?StockId=416296&Exchange=0,,bse,Andhra Sugars
1003425,Angel Broking Ltd - <b>INE732I01013</b>,543235,ANGELBRKG,/Stocks?StockId=1003425&Exchange=0,,bse,Angel Broking
205426,Anik Industries Ltd - <b>INE087B01017</b>,519383,ANIKINDS,/Stocks?StockId=205426&Exchange=0,,bse,Anik Industries
827070,Ankit Metal & Power Ltd - <b>INE106I01010</b>,532870,ANKITMETAL,/Stocks?StockId=827070&Exchange=0,,bse,Ankit Met.Power
1003104,Anmol India Ltd - <b>INE02AR01019</b>,542437,ANMOL,/Stocks?StockId=1003104&Exchange=0,,bse,Anmol India
308603,Ansal Properties & Infrastructure Ltd - <b>INE436A01026</b>,500013,ANSALAPI,/Stocks?StockId=308603&Exchange=0,,bse,Ansal Properties
483179,Ansal Housing Ltd - <b>INE880B01015</b>,507828,ANSALHSG,/Stocks?StockId=483179&Exchange=0,,bse,Ansal Housing
1003108,The Anup Engineering Ltd - <b>INE294Z01018</b>,542460,ANUP,/Stocks?StockId=1003108&Exchange=0,,bse,The Anup Enginee
